sub,sess,mult_cond,CV,group,cort_to_Put,cort_to_CN
101,Pre,single,0.34446694685599605,practice,0.752828099727379,-0.698470127556358
101,Pre,multi-first,0.28519978983002275,practice,0.752828099727379,-0.698470127556358
101,Pre,multi-second,0.273098336387932,practice,0.752828099727379,-0.698470127556358
104,Pre,single,0.32608862835548114,practice,-1.49472258837961,0.446773296492803
104,Pre,multi-first,0.20253975229534718,practice,-1.49472258837961,0.446773296492803
104,Pre,multi-second,0.25985831606727305,practice,-1.49472258837961,0.446773296492803
105,Pre,single,0.327613055852418,practice,-0.608077900334083,-1.59781204126809
107,Pre,single,0.2532701643781384,practice,1.14807748778526,0.288765952877068
107,Pre,multi-first,0.2801994955661237,practice,1.14807748778526,0.288765952877068
107,Pre,multi-second,0.27741003032249884,practice,1.14807748778526,0.288765952877068
108,Pre,single,0.34854421826555054,practice,0.710704462040116,-0.0179460858967451
108,Pre,multi-first,0.28672802283640414,practice,0.710704462040116,-0.0179460858967451
108,Pre,multi-second,0.2825393276381021,practice,0.710704462040116,-0.0179460858967451
110,Pre,single,0.21313404011686488,practice,-0.460032612126875,0.324373550777549
110,Pre,multi-first,0.16596318479813707,practice,-0.460032612126875,0.324373550777549
110,Pre,multi-second,0.16433285890380214,practice,-0.460032612126875,0.324373550777549
111,Pre,single,0.23781758698440472,practice,-0.590715484131857,0.863219523113641
111,Pre,multi-first,0.23911160740133314,practice,-0.590715484131857,0.863219523113641
111,Pre,multi-second,0.19565981975166424,practice,-0.590715484131857,0.863219523113641
112,Pre,single,0.2203873889073117,practice,1.38918930022805,-1.82052027673996
112,Pre,multi-first,0.22684723527512357,practice,1.38918930022805,-1.82052027673996
112,Pre,multi-second,0.22024607847108676,practice,1.38918930022805,-1.82052027673996
113,Pre,single,0.3440106141988544,practice,-1.85470616799903,-0.639749612250895
113,Pre,multi-first,0.384053178409768,practice,-1.85470616799903,-0.639749612250895
113,Pre,multi-second,0.3809594417351581,practice,-1.85470616799903,-0.639749612250895
114,Pre,single,0.29437501669481436,practice,0.203774672876373,1.21456253093143
114,Pre,multi-first,0.2564964942001553,practice,0.203774672876373,1.21456253093143
114,Pre,multi-second,0.2523812144251716,practice,0.203774672876373,1.21456253093143
115,Pre,single,0.41896413887715356,practice,-0.499509351075311,0.243681396190288
115,Pre,multi-first,0.23484139615840824,practice,-0.499509351075311,0.243681396190288
115,Pre,multi-second,0.22384459205336976,practice,-0.499509351075311,0.243681396190288
117,Pre,single,0.23187878726949968,practice,-0.704451044586437,-0.572852256329148
117,Pre,multi-first,0.24990079758619757,practice,-0.704451044586437,-0.572852256329148
117,Pre,multi-second,0.17111009276493305,practice,-0.704451044586437,-0.572852256329148
118,Pre,single,0.15431712175293827,practice,-0.852409080639774,0.359598715626993
118,Pre,multi-first,0.2553834470909516,practice,-0.852409080639774,0.359598715626993
118,Pre,multi-second,0.2564493864968552,practice,-0.852409080639774,0.359598715626993
119,Pre,single,0.20227945585394205,practice,0.390332020487801,0.911101558665403
119,Pre,multi-first,0.22190499631561966,practice,0.390332020487801,0.911101558665403
119,Pre,multi-second,0.15833974370337336,practice,0.390332020487801,0.911101558665403
120,Pre,single,0.29487292737213583,practice,1.52627293500657,0.631507812513872
120,Pre,multi-first,0.1453734214199204,practice,1.52627293500657,0.631507812513872
120,Pre,multi-second,0.14432848417092217,practice,1.52627293500657,0.631507812513872
121,Pre,single,0.2516044404615563,practice,-0.53096077541706,0.582442748538482
121,Pre,multi-first,0.12569634837057217,practice,-0.53096077541706,0.582442748538482
121,Pre,multi-second,0.12473188531172257,practice,-0.53096077541706,0.582442748538482
122,Pre,single,0.24926630576798803,practice,-0.370242311853698,-0.992177733935694
122,Pre,multi-first,0.3413109704601536,practice,-0.370242311853698,-0.992177733935694
122,Pre,multi-second,0.29611359047715685,practice,-0.370242311853698,-0.992177733935694
123,Pre,single,0.29426788473671905,practice,-0.266104322081583,1.99561832571339
123,Pre,multi-first,0.25053887277618886,practice,-0.266104322081583,1.99561832571339
123,Pre,multi-second,0.2211040649314382,practice,-0.266104322081583,1.99561832571339
124,Pre,single,0.32612467305812637,practice,-0.252130566123317,-0.179423323093696
124,Pre,multi-first,0.2603172493199626,practice,-0.252130566123317,-0.179423323093696
124,Pre,multi-second,0.2816607939632737,practice,-0.252130566123317,-0.179423323093696
126,Pre,single,0.4635850573080627,practice,-0.182669321970157,0.912013311307516
126,Pre,multi-first,0.3108982576402543,practice,-0.182669321970157,0.912013311307516
126,Pre,multi-second,0.2395202088980401,practice,-0.182669321970157,0.912013311307516
127,Pre,single,0.23465764140242784,practice,0.996259385466626,-0.183930856821656
127,Pre,multi-first,0.24730065341079494,practice,0.996259385466626,-0.183930856821656
127,Pre,multi-second,0.2586912854178592,practice,0.996259385466626,-0.183930856821656
129,Pre,single,0.1507392984470177,practice,0.206445368202492,-0.248037914561443
129,Pre,multi-first,0.21852644299512533,practice,0.206445368202492,-0.248037914561443
129,Pre,multi-second,0.1852154538470361,practice,0.206445368202492,-0.248037914561443
