model,cond,RMSE,int,slp,sub,a,b,deriv_a,deriv_b
pwr,s8,39.074329096605425,-0.12348207686922871,-0.08396451725255444,202,-0.12348207686922871,-0.08396451725255444,0.010368112973667607,-1.0839645172525545
pwr,s12,51.04994625383883,-0.07988324527336015,-0.05959482368192308,202,-0.07988324527336015,-0.05959482368192308,0.004760627917205713,-1.059594823681923
pwr,s16,45.311654474433475,0.02587439428761171,-0.06869604003521358,202,0.02587439428761171,-0.06869604003521358,-0.0017774684258686758,-1.0686960400352137
pwr,s8,47.49635591161827,-0.11601118214674028,-0.15645216969504125,203,-0.11601118214674028,-0.15645216969504125,0.018150201155744148,-1.1564521696950412
pwr,s12,50.946358661439014,-0.019710292410405506,-0.16721456948323904,203,-0.019710292410405506,-0.16721456948323904,0.0032958480597947105,-1.167214569483239
pwr,s16,49.4613864369722,0.05434126935458492,-0.17824798054770177,203,0.05434126935458492,-0.17824798054770177,-0.009686221522853476,-1.1782479805477017
pwr,s8,47.745524969654994,-0.2282049842914954,-0.17952120642064595,204,-0.2282049842914954,-0.17952120642064595,0.04096763409121382,-1.179521206420646
pwr,s12,37.797606738252,-0.12602467653008395,-0.18959457111053693,204,-0.12602467653008395,-0.18959457111053693,0.023893594496065415,-1.189594571110537
pwr,s16,47.28711203996124,-0.08221198411998015,-0.19433354526956298,204,-0.08221198411998015,-0.19433354526956298,0.015976546337680756,-1.194333545269563
pwr,s8,38.75384166030859,-0.2987370501090847,-0.14634323487742032,205,-0.2987370501090847,-0.14634323487742032,0.04371814629070146,-1.1463432348774203
pwr,s12,62.01863414803994,-0.1946130802253349,-0.1603459211594239,205,-0.1946130802253349,-0.1603459211594239,0.03120541361840419,-1.1603459211594238
pwr,s16,44.235681048316316,-0.1525139388311673,-0.14174082756370496,205,-0.1525139388311673,-0.14174082756370496,0.02161745190492993,-1.1417408275637049
pwr,s8,36.99000807143144,-0.3831209212266076,-0.12035779022107643,206,-0.3831209212266076,-0.12035779022107643,0.046111587466297586,-1.1203577902210764
pwr,s12,50.130373541511474,-0.32946491849053494,-0.1029797385462824,206,-0.32946491849053494,-0.1029797385462824,0.03392821116632753,-1.1029797385462823
pwr,s16,60.00242745460846,-0.17989843519653836,-0.1374079276101174,206,-0.17989843519653836,-0.1374079276101174,0.024719471160659336,-1.1374079276101174
pwr,s8,48.90975417266182,-0.1964870583685268,-0.1471168486464375,207,-0.1964870583685268,-0.1471168486464375,0.028906556826986292,-1.1471168486464376
pwr,s12,44.28371522070425,-0.07817526107806755,-0.16093705409133147,207,-0.07817526107806755,-0.16093705409133147,0.012581296220724916,-1.1609370540913315
pwr,s16,47.66768892006751,0.012738894943265668,-0.18453566585858688,207,0.012738894943265668,-0.18453566585858688,-0.002350780460658115,-1.1845356658585868
pwr,s8,34.1607558167288,-0.3548873771284956,-0.1256927538429753,208,-0.3548873771284956,-0.1256927538429753,0.04460677173539114,-1.1256927538429753
pwr,s12,34.4957847442811,-0.24495185185719717,-0.13871195827653757,208,-0.24495185185719717,-0.13871195827653757,0.03397775105457614,-1.1387119582765375
pwr,s16,33.50373570427292,-0.1588670053630043,-0.17201822409252937,208,-0.1588670053630043,-0.17201822409252937,0.02732802012944234,-1.1720182240925294
pwr,s8,42.69499498772182,-0.05658098663948254,-0.18516943865217608,209,-0.05658098663948254,-0.18516943865217608,0.010477069534419257,-1.185169438652176
pwr,s12,53.98564710503388,-0.024504570389816103,-0.17174274971564438,209,-0.024504570389816103,-0.17174274971564438,0.0042084822993475775,-1.1717427497156443
pwr,s16,39.56173485390357,0.08852023990939854,-0.18643902045228633,209,0.08852023990939854,-0.18643902045228633,-0.01650362681890965,-1.1864390204522863
pwr,s8,45.32651646943744,-0.10228518805897831,-0.15731593215440395,210,-0.10228518805897831,-0.15731593215440395,0.01609108970508668,-1.157315932154404
pwr,s12,37.138246730155835,-0.02887441100294215,-0.16683604700021892,210,-0.02887441100294215,-0.16683604700021892,0.004817292591190495,-1.1668360470002188
pwr,s16,50.32108641000994,0.005691559885812318,-0.16759238988291017,210,0.005691559885812318,-0.16759238988291017,-9.538621234249897e-4,-1.1675923898829101
pwr,s8,60.21429458155854,-0.051157089120948566,-0.1644685923516606,211,-0.051157089120948566,-0.1644685923516606,0.008413734436530861,-1.1644685923516607
pwr,s12,53.321401017562216,0.06662686398616281,-0.16868479579378762,211,0.06662686398616281,-0.16868479579378762,-0.011238938945886337,-1.1686847957937876
pwr,s16,44.58991894255129,0.08745232639195588,-0.1530896942804901,211,0.08745232639195588,-0.1530896942804901,-0.013388049911462162,-1.15308969428049
pwr,s8,45.46281966017472,-0.15526663183580983,-0.09340685991453329,212,-0.15526663183580983,-0.09340685991453329,0.014502968529288904,-1.0934068599145332
pwr,s12,66.28092394221287,-0.05624908591187679,-0.10030048965796982,212,-0.05624908591187679,-0.10030048965796982,0.005641810859774454,-1.1003004896579698
pwr,s16,63.62707019796049,0.01954279310552058,-0.08981724431005349,212,0.01954279310552058,-0.08981724431005349,-0.001755279822859371,-1.0898172443100536
pwr,s8,35.93468726853443,-0.28439930681186626,-0.13412797809711235,213,-0.28439930681186626,-0.13412797809711235,0.03814590399489593,-1.1341279780971123
pwr,s12,45.2396599674187,-0.20592440237394938,-0.1389660451756349,213,-0.20592440237394938,-0.1389660451756349,0.02861649980306387,-1.138966045175635
pwr,s16,48.06353599546336,-0.13506931597380195,-0.1565426678141655,213,-0.13506931597380195,-0.1565426678141655,0.021144111062373436,-1.1565426678141655
pwr,s8,29.983061526302677,-0.23476752591670874,-0.1914812360299901,214,-0.23476752591670874,-0.1914812360299901,0.04495357604223412,-1.19148123602999
pwr,s12,61.414291111546696,-0.15169777077161178,-0.18394391493647405,214,-0.15169777077161178,-0.18394391493647405,0.027903881842866098,-1.183943914936474
pwr,s16,60.200415145517105,-0.0816903461251813,-0.2072693775683889,214,-0.0816903461251813,-0.2072693775683889,0.01693190719471258,-1.207269377568389
pwr,s8,40.79833313657837,-0.2215735738544086,-0.20703343302520494,215,-0.2215735738544086,-0.20703343302520494,0.045873137662742,-1.207033433025205
pwr,s12,53.431938861286504,-0.12014948077547591,-0.2096793257227316,215,-0.12014948077547591,-0.2096793257227316,0.02519286211493809,-1.2096793257227316
pwr,s16,73.79552959686835,-0.011909641768720431,-0.22122739201492658,215,-0.011909641768720431,-0.22122739201492658,0.0026347389883260583,-1.2212273920149266
pwr,s8,32.031462355059396,-0.34393415330732907,-0.12885389512684958,216,-0.34393415330732907,-0.12885389512684958,0.04431725532080439,-1.1288538951268496
pwr,s12,51.00834452003171,-0.27908067730357755,-0.1314947865868067,216,-0.27908067730357755,-0.1314947865868067,0.03669765410253539,-1.1314947865868068
pwr,s16,41.89380284044184,-0.22547199227720385,-0.13160687763575135,216,-0.22547199227720385,-0.13160687763575135,0.02967366489791504,-1.1316068776357513
pwr,s8,39.546546857656935,-0.4650569518703151,-0.09084923455844902,217,-0.4650569518703151,-0.09084923455844902,0.042250068103503596,-1.090849234558449
pwr,s12,43.64462466280772,-0.3875718845630904,-0.09743236901348412,217,-0.3875718845630904,-0.09743236901348412,0.03776204687600249,-1.0974323690134842
pwr,s16,49.5360845959332,-0.3031689789189877,-0.1311241494177258,217,-0.3031689789189877,-0.1311241494177258,0.0397527744905927,-1.1311241494177258
pwr,s8,44.323988743185964,-0.4536419226423666,-0.11874556599404794,218,-0.4536419226423666,-0.11874556599404794,0.05386796686279593,-1.118745565994048
pwr,s12,45.70464520538948,-0.3275425033067984,-0.14123148649652015,218,-0.3275425033067984,-0.14123148649652015,0.04625931463281051,-1.14123148649652
pwr,s16,39.08361956853229,-0.25648151546478043,-0.14648651174533162,218,-0.25648151546478043,-0.14648651174533162,0.03757108252759201,-1.1464865117453316
pwr,s8,37.86056531473192,-0.4591019417954776,-0.15195485167035203,219,-0.4591019417954776,-0.15195485167035203,0.06976276746710239,-1.151954851670352
pwr,s12,42.63526942813011,-0.3616263196999909,-0.1766663014650021,219,-0.3616263196999909,-0.1766663014650021,0.06388718441379782,-1.176666301465002
pwr,s16,40.83045339894443,-0.2843901434907763,-0.19147425544660615,219,-0.2843901434907763,-0.19147425544660615,0.05445339098124988,-1.1914742554466062
pwr,s8,44.6825052561081,-0.20404413472498814,-0.1414462258062063,220,-0.20404413472498814,-0.1414462258062063,0.028861272754742654,-1.1414462258062064
pwr,s12,44.00161840665845,-0.14027876256323124,-0.13943610309265367,220,-0.14027876256323124,-0.13943610309265367,0.019559923998476596,-1.1394361030926536
pwr,s16,41.49504499862782,-0.04583431830776928,-0.1550530166714008,220,-0.04583431830776928,-0.1550530166714008,0.007106749320696842,-1.1550530166714008
pwr,s8,42.78977660945332,-0.15477715648876378,-0.1577801449786458,221,-0.15477715648876378,-0.1577801449786458,0.024420762190179697,-1.1577801449786458
pwr,s12,36.509904281438146,-0.04767915440215895,-0.18062642839271084,221,-0.04767915440215895,-0.18062642839271084,0.008612115368446568,-1.1806264283927108
pwr,s16,48.105457104557296,0.019717175812337943,-0.18677830323507072,221,0.019717175812337943,-0.18677830323507072,-0.003682740642816058,-1.1867783032350707
pwr,s8,28.191013382246926,-0.6727666586316265,-0.032173065743457685,222,-0.6727666586316265,-0.032173065743457685,0.021644965938161675,-1.0321730657434576
pwr,s12,30.003275464097918,-0.6195068154653246,-0.033556231807441966,222,-0.6195068154653246,-0.033556231807441966,0.020788314306044605,-1.033556231807442
pwr,s16,32.86863423824285,-0.5480171831026325,-0.05615533672800472,222,-0.5480171831026325,-0.05615533672800472,0.030774089449860945,-1.0561553367280048
pwr,s8,41.63403878777183,-0.25504237216825953,-0.1276900366857952,224,-0.25504237216825953,-0.1276900366857952,0.032566369858597295,-1.1276900366857951
pwr,s12,40.34978133162779,-0.1577682238746638,-0.1360189699554494,224,-0.1577682238746638,-0.1360189699554494,0.02145947130313251,-1.1360189699554495
pwr,s16,49.37343454272268,-0.08442007344871019,-0.1321921132009664,224,-0.08442007344871019,-0.1321921132009664,0.011159667905765797,-1.1321921132009665
pwr,s8,39.32933024043153,-0.3831119792219565,-0.10539168404099007,225,-0.3831119792219565,-0.10539168404099007,0.04037681666647879,-1.10539168404099
pwr,s12,40.50035580402717,-0.2775313353057031,-0.12540546180743423,225,-0.2775313353057031,-0.12540546180743423,0.03480394527004557,-1.1254054618074343
pwr,s16,41.80301636537134,-0.24095266392815645,-0.12345362854794159,225,-0.24095266392815645,-0.12345362854794159,0.029746480670223632,-1.1234536285479415
pwr,s8,48.29723728023173,-0.18303157964931538,-0.1317640359555176,226,-0.18303157964931538,-0.1317640359555176,0.024116979641907576,-1.1317640359555177
pwr,s12,37.07195578324792,-0.02083171349293857,-0.18009580247701001,226,-0.02083171349293857,-0.18009580247701001,0.003751704158481929,-1.18009580247701
pwr,s16,61.36042660552454,0.05432350235556963,-0.1555178741216458,226,0.05432350235556963,-0.1555178741216458,-0.008448275601180407,-1.1555178741216459
pwr,s8,52.36564264880004,-0.261498044211146,-0.125815770146543,227,-0.261498044211146,-0.125815770146543,0.03290057782424008,-1.125815770146543
pwr,s12,46.33723045337364,-0.11902093894781664,-0.15760486936736026,227,-0.11902093894781664,-0.15760486936736026,0.0187582795348512,-1.1576048693673602
pwr,s16,59.65651846509541,-0.06847157041292935,-0.14853210907777809,227,-0.06847157041292935,-0.14853210907777809,0.010170226765299986,-1.148532109077778
pwr,s8,45.64852530623143,-0.23486835264106862,-0.17352334574933972,228,-0.23486835264106862,-0.17352334574933972,0.040755142360913994,-1.1735233457493397
pwr,s12,58.930201141444115,-0.0941721299967047,-0.19570131259674692,228,-0.0941721299967047,-0.19570131259674692,0.018429609450386592,-1.1957013125967468
pwr,s16,57.166475812282556,-0.03860879327871462,-0.19373903364258283,228,-0.03860879327871462,-0.19373903364258283,0.007480030299924418,-1.1937390336425828
pwr,s8,37.71854859449507,-0.32894079219182876,-0.08407613386155072,229,-0.32894079219182876,-0.08407613386155072,0.02765607007684473,-1.0840761338615508
pwr,s12,41.76198169852748,-0.25244783748014293,-0.09126208729221245,229,-0.25244783748014293,-0.09126208729221245,0.023038916580843068,-1.0912620872922125
pwr,s16,54.89503578144933,-0.16839116324945275,-0.09031086508092781,229,-0.16839116324945275,-0.09031086508092781,0.015207551625041817,-1.090310865080928
pwr,s8,29.406286240837126,-0.32771105523525196,-0.07504260077322061,230,-0.32771105523525196,-0.07504260077322061,0.024592289886989863,-1.0750426007732206
pwr,s12,33.48321896435114,-0.25414074998181496,-0.08063151237911496,230,-0.25414074998181496,-0.08063151237911496,0.020491753028196273,-1.080631512379115
pwr,s16,48.41532978940372,-0.1685459548640675,-0.0825086086733655,230,-0.1685459548640675,-0.0825086086733655,0.01390649223335807,-1.0825086086733655
pwr,s8,59.908682941016515,-0.3425348415601875,-0.11994629531655335,231,-0.3425348415601875,-0.11994629531655335,0.04108578526198706,-1.1199462953165533
pwr,s12,46.72245362026496,-0.1851549682026551,-0.16223237305848678,231,-0.1851549682026551,-0.16223237305848678,0.0300381298750854,-1.1622323730584867
pwr,s16,65.83924235377425,-0.033060743247017625,-0.17919478237954767,231,-0.033060743247017625,-0.17919478237954767,0.0059243126914554235,-1.1791947823795477
pwr,s8,40.168192515432175,-0.22515590827964227,-0.18028267390842584,232,-0.22515590827964227,-0.18028267390842584,0.04059170919093418,-1.1802826739084258
pwr,s12,53.45975140947425,-0.12568077838258837,-0.19563453332726735,232,-0.12568077838258837,-0.19563453332726735,0.024587500427085386,-1.1956345333272673
pwr,s16,53.31739887054166,-0.04149929128466247,-0.2275447929135019,232,-0.04149929128466247,-0.2275447929135019,0.009442947641425616,-1.227544792913502
pwr,s8,39.83008029297976,-0.34924072247936905,-0.09671356948697328,233,-0.34924072247936905,-0.09671356948697328,0.03377631688118921,-1.0967135694869732
pwr,s12,45.83144654008832,-0.22286098021823225,-0.11074893685865725,233,-0.22286098021823225,-0.11074893685865725,0.024681616626447467,-1.1107489368586572
pwr,s16,52.841658194983836,-0.1755425443439508,-0.0955658247956809,233,-0.1755425443439508,-0.0955658247956809,0.016775868036962047,-1.095565824795681
pwr,s8,50.11448529079485,-0.23041532927053957,-0.12730776201712937,235,-0.23041532927053957,-0.12730776201712937,0.029333659903872353,-1.1273077620171295
pwr,s12,47.8855121965575,-0.1547973352314844,-0.12204171362419525,235,-0.1547973352314844,-0.12204171362419525,0.01889173205610937,-1.1220417136241951
pwr,s16,49.54515503407191,-0.09709157938005894,-0.12915781400668838,235,-0.09709157938005894,-0.12915781400668838,0.012540136151185273,-1.1291578140066885
pwr,s8,34.29600150552123,-0.29250914892675856,-0.13002784456270702,236,-0.29250914892675856,-0.13002784456270702,0.03803433414981828,-1.130027844562707
pwr,s12,45.192378783357526,-0.19608337304234041,-0.1563431447322468,236,-0.19608337304234041,-0.1563431447322468,0.03065629117114577,-1.1563431447322468
pwr,s16,57.31456526232075,-0.11171591799289685,-0.15053616645670964,236,-0.11171591799289685,-0.15053616645670964,0.016817286026842845,-1.1505361664567095
pwr,s8,29.229938450885882,-0.1641312039167119,-0.10962926159392755,237,-0.1641312039167119,-0.10962926159392755,0.017993582689911476,-1.1096292615939276
pwr,s12,42.926070345882245,-0.03622800555641789,-0.11148815229698061,237,-0.03622800555641789,-0.11148815229698061,0.004038993400889777,-1.1114881522969806
pwr,s16,55.417795783421,0.06168835981644217,-0.11367589998378665,237,0.06168835981644217,-0.11367589998378665,-0.0070124798206577235,-1.1136758999837866
pwr,s8,38.07979874601757,-0.2650340511192773,-0.1065903007303035,238,-0.2650340511192773,-0.1065903007303035,0.028250059212574397,-1.1065903007303035
pwr,s12,40.146425579366486,-0.15190483553095147,-0.11827609435618226,238,-0.15190483553095147,-0.11827609435618226,0.017966710660419164,-1.1182760943561822
pwr,s16,55.39168256866818,-0.08468407838818678,-0.11026856496621265,238,-0.08468407838818678,-0.11026856496621265,0.00933799179935162,-1.1102685649662127
pwr,s8,45.020184747371395,-0.08397783378366895,-0.11772450779974257,239,-0.08397783378366895,-0.11772450779974257,0.00988624914827102,-1.1177245077997426
pwr,s12,44.02287967754247,-0.026088515567132847,-0.10642803693349713,239,-0.026088515567132847,-0.10642803693349713,0.0027765494983189296,-1.1064280369334971
pwr,s16,45.24135935391312,0.09147284942420646,-0.12243959869087555,239,0.09147284942420646,-0.12243959869087555,-0.011199898974610725,-1.1224395986908755
pwr,s8,54.71241586743576,-0.04673359402981075,-0.1267657077304182,240,-0.04673359402981075,-0.1267657077304182,0.005924217121975006,-1.1267657077304183
pwr,s12,48.04532448045229,0.03287556052947822,-0.1265266617700902,240,0.03287556052947822,-0.1265266617700902,-0.004159634927615418,-1.1265266617700902
