sub,sess,run,trial_num,cond,task,RT,acc,mult_cond
101,Pre,1,1,3,shape,1.6488,1,multi-second
101,Pre,1,1,3,sound,1.6098,1,multi-first
101,Pre,1,2,1,shape,0.86691,1,single
101,Pre,1,4,3,shape,1.7847,1,multi-second
101,Pre,1,4,3,sound,1.7437,1,multi-first
101,Pre,1,5,2,sound,2.204,1,single
101,Pre,1,6,2,sound,1.0519,1,single
101,Pre,1,7,1,shape,0.87371,1,single
101,Pre,1,8,1,shape,1.0258,1,single
101,Pre,1,9,1,shape,2.1109,1,single
101,Pre,1,10,3,shape,1.511,1,multi-first
101,Pre,1,10,3,sound,1.522,1,multi-second
101,Pre,1,11,2,sound,1.2859,1,single
101,Pre,1,12,1,shape,0.89995,1,single
101,Pre,1,13,1,shape,0.75441,1,single
101,Pre,1,14,2,sound,0.97866,1,single
101,Pre,1,17,2,sound,1.0591,1,single
101,Pre,1,18,2,sound,1.4267,1,single
101,Pre,2,2,3,shape,0.39175,1,multi-first
101,Pre,2,2,3,sound,0.41675,1,multi-second
101,Pre,2,3,1,shape,0.79106,1,single
101,Pre,2,4,1,shape,0.69201,1,single
101,Pre,2,5,2,sound,1.4292,1,single
101,Pre,2,8,1,shape,0.89369,1,single
101,Pre,2,9,3,shape,1.7636,1,multi-second
101,Pre,2,9,3,sound,1.7086,1,multi-first
101,Pre,2,10,1,shape,0.84068,1,single
101,Pre,2,11,3,shape,1.6284,1,multi-second
101,Pre,2,11,3,sound,1.5604,1,multi-first
101,Pre,2,12,1,shape,0.76757,1,single
101,Pre,2,13,3,shape,1.3465,1,multi-first
101,Pre,2,13,3,sound,1.4075,1,multi-second
101,Pre,2,14,2,sound,0.95767,1,single
101,Pre,2,15,3,shape,1.5566,1,multi-second
101,Pre,2,15,3,sound,1.5026,1,multi-first
101,Pre,2,16,2,sound,1.0265,1,single
101,Pre,2,17,2,sound,0.92545,1,single
101,Pre,2,18,2,sound,0.96652,1,single
101,Pre,3,1,3,shape,2.7361,1,multi-second
101,Pre,3,1,3,sound,2.7221,1,multi-first
101,Pre,3,2,3,shape,1.7964,1,multi-first
101,Pre,3,2,3,sound,1.8095,1,multi-second
101,Pre,3,3,2,sound,0.85664,1,single
101,Pre,3,4,2,sound,0.93949,1,single
101,Pre,3,5,2,sound,0.76947,1,single
101,Pre,3,7,1,shape,0.57666,1,single
101,Pre,3,8,3,shape,1.5696,1,multi-second
101,Pre,3,8,3,sound,1.5556,1,multi-first
101,Pre,3,9,2,sound,0.84947,1,single
101,Pre,3,10,2,sound,1.3676,1,single
101,Pre,3,11,3,shape,1.3222,1,multi-second
101,Pre,3,11,3,sound,1.2722,1,multi-first
101,Pre,3,12,3,shape,1.3582,1,multi-first
101,Pre,3,12,3,sound,1.3982,1,multi-second
101,Pre,3,13,3,shape,1.7398,1,multi-second
101,Pre,3,13,3,sound,1.7038,1,multi-first
101,Pre,3,14,1,shape,1.7674,1,single
101,Pre,3,15,1,shape,1.7193,1,single
101,Pre,3,16,2,sound,1.3735,1,single
101,Pre,3,17,1,shape,1.6658,1,single
101,Pre,3,18,1,shape,0.78417,1,single
101,Pre,4,2,2,sound,0.5096,1,single
101,Pre,4,3,3,shape,1.0048,1,multi-first
101,Pre,4,3,3,sound,1.0608,1,multi-second
101,Pre,4,4,1,shape,0.79929,1,single
101,Pre,4,5,3,shape,1.3323,1,multi-first
101,Pre,4,5,3,sound,1.3423,1,multi-second
101,Pre,4,6,3,shape,1.5314,1,multi-second
101,Pre,4,6,3,sound,1.5244,1,multi-first
101,Pre,4,7,3,shape,1.0867,1,multi-second
101,Pre,4,7,3,sound,0.97767,1,multi-first
101,Pre,4,8,3,shape,1.29,1,multi-second
101,Pre,4,8,3,sound,1.117,1,multi-first
101,Pre,4,9,2,sound,1.3172,1,single
101,Pre,4,11,2,sound,0.70246,1,single
101,Pre,4,12,2,sound,1.1615,1,single
101,Pre,4,14,2,sound,0.89262,1,single
101,Pre,4,15,1,shape,1.4057,1,single
101,Pre,4,16,1,shape,0.73161,1,single
101,Pre,4,17,1,shape,0.87637,1,single
101,Pre,4,18,1,shape,0.70835,1,single
101,Pre,5,1,1,shape,1.4967,1,single
101,Pre,5,2,3,shape,1.8849,1,multi-first
101,Pre,5,2,3,sound,1.9999,1,multi-second
101,Pre,5,3,2,sound,0.71282,1,single
101,Pre,5,4,1,shape,0.6671,1,single
101,Pre,5,5,3,shape,1.3431,1,multi-first
101,Pre,5,5,3,sound,1.345,1,multi-second
101,Pre,5,6,3,shape,1.421,1,multi-first
101,Pre,5,6,3,sound,1.428,1,multi-second
101,Pre,5,7,3,shape,2.434,1,multi-first
101,Pre,5,7,3,sound,2.446,1,multi-second
101,Pre,5,8,2,sound,0.77105,1,single
101,Pre,5,9,1,shape,1.415,1,single
101,Pre,5,10,1,shape,1.3629,1,single
101,Pre,5,11,1,shape,0.92214,1,single
101,Pre,5,12,2,sound,0.77405,1,single
101,Pre,5,13,2,sound,0.88844,1,single
101,Pre,5,14,2,sound,1.3235,1,single
101,Pre,5,15,1,shape,1.6317,1,single
101,Pre,5,16,3,shape,1.7139,1,multi-first
101,Pre,5,16,3,sound,1.8038,1,multi-second
101,Pre,5,17,2,sound,0.66255,1,single
101,Pre,6,1,2,sound,0.87943,1,single
101,Pre,6,2,1,shape,0.71167,1,single
101,Pre,6,3,2,sound,0.91882,1,single
101,Pre,6,4,1,shape,1.1732,1,single
101,Pre,6,5,1,shape,1.2894,1,single
101,Pre,6,6,3,shape,1.891,1,multi-first
101,Pre,6,6,3,sound,1.928,1,multi-second
101,Pre,6,7,2,sound,1.0493,1,single
101,Pre,6,8,1,shape,0.80351,1,single
101,Pre,6,9,3,shape,1.0987,1,multi-first
