model,cond,RMSE,int,slp,sub,a,b,deriv_a,deriv_b
pwr,S,147.4874551714058,-0.4881596714415895,-0.06536064603319217,101,-0.4881596714415895,-0.06536064603319217,0.03190643149277312,-1.0653606460331921
pwr,FM,72.4005311309372,-0.12696023567029857,-0.1742826787699994,101,-0.12696023567029857,-0.1742826787699994,0.022126969969890064,-1.1742826787699994
pwr,SM,55.9862384913907,-0.1105412381928558,-0.07196593632035293,101,-0.1105412381928558,-0.07196593632035293,0.007955203708560026,-1.0719659363203529
pwr,S,73.49143664599579,-0.5030440860950423,-0.0631660000540798,103,-0.5030440860950423,-0.0631660000540798,0.03177528276948396,-1.0631660000540797
pwr,FM,34.332037822312294,-0.20569359443301657,-0.08933200244288697,103,-0.20569359443301657,-0.08933200244288697,0.018375020680376438,-1.089332002442887
pwr,SM,47.52617200977972,-0.17583925812416135,-0.09116208396083446,103,-0.17583925812416135,-0.09116208396083446,0.01602987321272564,-1.0911620839608345
pwr,S,78.511275981985,-0.5563226152053159,-0.04226764118709067,104,-0.5563226152053159,-0.04226764118709067,0.023514444683762206,-1.0422676411870906
pwr,FM,30.295106494489538,-0.23476546375887994,-0.08007970055319687,104,-0.23476546375887994,-0.08007970055319687,0.018799948038043496,-1.0800797005531968
pwr,SM,45.44202791709211,-0.16581088861339494,-0.10286830185906325,104,-0.16581088861339494,-0.10286830185906325,0.017056684541402224,-1.1028683018590633
pwr,S,79.05824620943183,-0.560498470776612,-0.11493059802443159,105,-0.560498470776612,-0.11493059802443159,0.0644184244381354,-1.1149305980244315
pwr,FM,46.30747094659677,-0.28989569516362296,-0.15434658753438207,105,-0.28989569516362296,-0.15434658753438207,0.04474441128941267,-1.1543465875343821
pwr,SM,57.12562345523852,-0.23551814896350787,-0.10751480193353463,105,-0.23551814896350787,-0.10751480193353463,0.025321687137564254,-1.1075148019335346
pwr,S,84.8377278547045,-0.37733340663277964,-0.04436791352761654,107,-0.37733340663277964,-0.04436791352761654,0.01674149595656414,-1.0443679135276165
pwr,FM,35.07282317622046,-0.039638832905474944,-0.10831055012738354,107,-0.039638832905474944,-0.10831055012738354,0.004293303798399424,-1.1083105501273836
pwr,SM,47.18588073922438,-0.01018714335095657,-0.11179775076370839,107,-0.01018714335095657,-0.11179775076370839,0.0011388997133444118,-1.1117977507637085
pwr,S,46.750431190549214,-0.6036016461487357,-0.12463645221263012,108,-0.6036016461487357,-0.12463645221263012,0.07523076772568177,-1.1246364522126302
pwr,FM,37.976533875639035,-0.27754965595599373,-0.20614014476540665,108,-0.27754965595599373,-0.20614014476540665,0.05721412625835736,-1.2061401447654068
pwr,SM,41.51019919448095,-0.23074098414690686,-0.20719682561608263,108,-0.23074098414690686,-0.20719682561608263,0.04780879945476995,-1.2071968256160825
pwr,S,70.57078510090116,-0.7541166971495079,-0.07679140684818318,109,-0.7541166971495079,-0.07679140684818318,0.057909682101816004,-1.0767914068481832
pwr,FM,44.93814992364321,-0.6782586882344802,-0.08089478661136408,109,-0.6782586882344802,-0.08089478661136408,0.054867591852031994,-1.080894786611364
pwr,SM,44.237000241318015,-0.5399514618545178,-0.0964309178615152,109,-0.5399514618545178,-0.0964309178615152,0.052068015067298065,-1.0964309178615153
pwr,S,57.16993986238685,-0.5394073524011843,-0.07905329517911802,110,-0.5394073524011843,-0.07905329517911802,0.04264192865115736,-1.079053295179118
pwr,FM,38.38362220461653,-0.1521558494526692,-0.1339965218273937,110,-0.1521558494526692,-0.1339965218273937,0.020388354602350216,-1.1339965218273937
pwr,SM,34.86535559040419,-0.08091233677326982,-0.13539280307877866,110,-0.08091233677326982,-0.13539280307877866,0.010954948079387142,-1.1353928030787785
pwr,S,63.77488429683882,-0.7084115500917454,-0.05211444211673537,112,-0.7084115500917454,-0.05211444211673537,0.03691847272208304,-1.0521144421167354
pwr,FM,26.922023874407213,-0.48359296986822936,-0.06248168189869385,112,-0.48359296986822936,-0.06248168189869385,0.03021570211175135,-1.062481681898694
pwr,SM,40.044692847377114,-0.438947683581144,-0.05336040959040719,112,-0.438947683581144,-0.05336040959040719,0.023422428184650297,-1.0533604095904072
pwr,S,74.99402153922387,-0.5039592052896045,-0.16493794135250708,113,-0.5039592052896045,-0.16493794135250708,0.08312199384611287,-1.1649379413525072
pwr,FM,45.93249454888796,-0.10885897597746248,-0.22396154429057502,113,-0.10885897597746248,-0.22396154429057502,0.024380224369803107,-1.223961544290575
pwr,SM,62.143755682926766,-0.11817927350427525,-0.1927909654352723,113,-0.11817927350427525,-0.1927909654352723,0.02278389623332832,-1.1927909654352722
pwr,S,112.49785869484194,-0.3959359506372254,-0.1793939179268476,114,-0.3959359506372254,-0.1793939179268476,0.0710285014329028,-1.1793939179268476
pwr,FM,38.621746689341094,-0.19100515032686016,-0.16561097163933072,114,-0.19100515032686016,-0.16561097163933072,0.03163254853374774,-1.1656109716393308
pwr,SM,52.639282683355475,-0.16790377988211075,-0.16769283936860538,114,-0.16790377988211075,-0.16769283936860538,0.028156261589152472,-1.1676928393686055
pwr,S,74.44606333633365,-0.7628324202251472,-0.09453179603631894,115,-0.7628324202251472,-0.09453179603631894,0.07211191875861515,-1.094531796036319
pwr,FM,27.336516269640725,-0.6203165620497318,-0.0865196341760641,115,-0.6203165620497318,-0.0865196341760641,0.05366956202189657,-1.0865196341760641
pwr,SM,26.246175457694637,-0.4311802456122239,-0.10295354414198059,115,-0.4311802456122239,-0.10295354414198059,0.04439153444978813,-1.1029535441419807
pwr,S,102.55268734867363,-0.4140192435633777,-0.17215297638392074,116,-0.4140192435633777,-0.17215297638392074,0.07127464505965489,-1.1721529763839207
pwr,FM,47.92373071831582,-0.044389630596860054,-0.2905866994547856,116,-0.044389630596860054,-0.2905866994547856,0.012899036245158728,-1.2905866994547857
pwr,SM,63.45419525649428,-0.004171462234617235,-0.2797816113989285,116,-0.004171462234617235,-0.2797816113989285,0.0011670984258909851,-1.2797816113989284
pwr,S,81.47318878924318,-0.6069583032012633,-0.05765892314431231,117,-0.6069583032012633,-0.05765892314431231,0.03499656215608385,-1.0576589231443123
pwr,FM,33.507426425886784,-0.4577916066147398,-0.10895273237382745,117,-0.4577916066147398,-0.10895273237382745,0.04987764639848024,-1.1089527323738275
pwr,SM,33.51774743788189,-0.1882145212359379,-0.11477037434906437,117,-0.1882145212359379,-0.11477037434906437,0.02160145106017852,-1.1147703743490645
pwr,S,50.02187670495179,-0.36226082355890915,-0.06908565543524799,118,-0.36226082355890915,-0.06908565543524799,0.025027026434079964,-1.069085655435248
pwr,FM,23.547947596208374,-0.02492073699995594,-0.10642838403463786,118,-0.02492073699995594,-0.10642838403463786,0.00265227376785752,-1.1064283840346378
pwr,SM,35.082664091741954,-0.00977768976959398,-0.10403405726708488,118,-0.00977768976959398,-0.10403405726708488,0.00101721273742973,-1.1040340572670848
pwr,S,81.68253674928579,-0.6284450724661332,-0.07345276479047966,119,-0.6284450724661332,-0.07345276479047966,0.046161028091590825,-1.0734527647904797
pwr,FM,38.81557753050087,-0.4253978908247209,-0.06351799072289252,119,-0.4253978908247209,-0.06351799072289252,0.027020419282942666,-1.0635179907228924
pwr,SM,32.81809191235218,-0.3033120493004265,-0.07379384594413914,119,-0.3033120493004265,-0.07379384594413914,0.022382562639076807,-1.0737938459441392
pwr,S,76.82770927295242,-0.407276051506503,-0.06685014146226619,120,-0.407276051506503,-0.06685014146226619,0.027226461657402935,-1.0668501414622662
