sub,sess,run,trial_num,cond,shape_stim,shape_resp,shape_RT,shape_acc,sound_stim,sound_resp,sound_RT,sound_acc
101,1,1,1,3,2,2,1.6488,1,2,2,1.6098,1
101,1,1,2,1,1,1,0.86691,1,NaN,0,NaN,0
101,1,1,3,3,1,2,1.1467,0,1,1,1.1357,1
101,1,1,4,3,1,1,1.7847,1,2,2,1.7437,1
101,1,1,5,2,NaN,0,NaN,0,2,2,2.204,1
101,1,1,6,2,NaN,0,NaN,0,1,1,1.0519,1
101,1,1,7,1,1,1,0.87371,1,NaN,0,NaN,0
101,1,1,8,1,2,2,1.0258,1,NaN,0,NaN,0
101,1,1,9,1,2,2,2.1109,1,NaN,0,NaN,0
101,1,1,10,3,2,2,1.511,1,1,1,1.522,1
101,1,1,11,2,NaN,0,NaN,0,1,1,1.2859,1
101,1,1,12,1,1,1,0.89995,1,NaN,0,NaN,0
101,1,1,13,1,1,1,0.75441,1,NaN,0,NaN,0
101,1,1,14,2,NaN,0,NaN,0,2,2,0.97866,1
101,1,1,15,3,2,1,2.1262,0,2,2,2.1082,1
101,1,1,16,3,2,2,3.2122,1,1,1,3.2042,1
101,1,1,17,2,NaN,0,NaN,0,2,2,1.0591,1
101,1,1,18,2,NaN,0,NaN,0,1,1,1.4267,1
101,1,2,1,3,1,1,0.49151,1,2,0,-3807.2,0
101,1,2,2,3,1,1,0.39175,1,2,2,0.41675,1
101,1,2,3,1,2,2,0.79106,1,NaN,0,NaN,0
101,1,2,4,1,2,2,0.69201,1,NaN,0,NaN,0
101,1,2,5,2,NaN,0,NaN,0,1,1,1.4292,1
101,1,2,6,2,NaN,0,NaN,0,1,1,2.5694,1
101,1,2,7,1,2,2,2.6694,1,NaN,0,NaN,0
101,1,2,8,1,2,2,0.89369,1,NaN,0,NaN,0
101,1,2,9,3,2,2,1.7636,1,2,2,1.7086,1
101,1,2,10,1,1,1,0.84068,1,NaN,0,NaN,0
101,1,2,11,3,2,2,1.6284,1,2,2,1.5604,1
101,1,2,12,1,1,1,0.76757,1,NaN,0,NaN,0
101,1,2,13,3,1,1,1.3465,1,1,1,1.4075,1
101,1,2,14,2,NaN,0,NaN,0,1,1,0.95767,1
101,1,2,15,3,1,1,1.5566,1,2,2,1.5026,1
101,1,2,16,2,NaN,0,NaN,0,2,2,1.0265,1
101,1,2,17,2,NaN,0,NaN,0,1,1,0.92545,1
101,1,2,18,2,NaN,0,NaN,0,1,1,0.96652,1
101,1,3,1,3,2,2,2.7361,1,1,1,2.7221,1
101,1,3,2,3,1,1,1.7964,1,1,1,1.8095,1
101,1,3,3,2,NaN,0,NaN,0,2,2,0.85664,1
101,1,3,4,2,NaN,0,NaN,0,1,1,0.93949,1
101,1,3,5,2,NaN,0,NaN,0,2,2,0.76947,1
101,1,3,6,1,2,1,0.79123,0,NaN,0,NaN,0
101,1,3,7,1,2,2,0.57666,1,NaN,0,NaN,0
101,1,3,8,3,2,2,1.5696,1,2,2,1.5556,1
101,1,3,9,2,NaN,0,NaN,0,1,1,0.84947,1
101,1,3,10,2,NaN,0,NaN,0,2,2,1.3676,1
101,1,3,11,3,1,1,1.3222,1,2,2,1.2722,1
101,1,3,12,3,1,1,1.3582,1,1,1,1.3982,1
