sub,block,rest_block,trial_num,set_size,targ_or,resp,RT
201,1,1,1,12,1,0,0
201,1,1,2,12,1,0,0
201,1,1,3,16,2,1,0.72747
201,1,1,4,8,1,1,1.616
201,1,1,5,8,1,1,1.5119
201,1,1,6,16,2,2,1.4315
201,1,1,7,8,1,0,0
201,1,1,8,12,2,1,1.1679
201,1,1,9,8,1,1,1.2486
201,1,1,10,12,1,2,1.3591
201,1,1,11,16,1,1,1.5194
201,1,1,12,8,1,1,1.2647
201,1,1,13,12,1,0,0
201,1,1,14,16,2,2,1.5018
201,1,1,15,16,1,0,0
201,1,1,16,16,1,2,1.9914
201,1,1,17,8,2,2,1.3925
201,1,1,18,12,1,0,0
201,1,2,1,8,1,1,1.5818
201,1,2,2,12,1,1,1.3999
201,1,2,3,12,1,1,1.8327
201,1,2,4,8,1,2,1.2158
201,1,2,5,12,2,2,1.4725
201,1,2,6,16,2,1,1.1749
201,1,2,7,16,1,1,1.7037
201,1,2,8,12,2,2,1.5919
201,1,2,9,12,2,0,0
201,1,2,10,16,1,0,0
201,1,2,11,12,2,2,1.3743
201,1,2,12,8,2,2,0.83275
201,1,2,13,8,1,1,0.88851
201,1,2,14,16,1,0,0
201,1,2,15,16,1,1,1.6462
201,1,2,16,16,1,1,1.1199
201,1,2,17,8,1,1,1.0713
201,1,2,18,8,1,1,1.0011
201,1,3,1,8,2,2,1.1317
201,1,3,2,8,2,2,0.78441
201,1,3,3,16,2,2,1.2709
201,1,3,4,8,2,2,0.75245
201,1,3,5,16,2,2,1.2873
201,1,3,6,12,1,1,0.76015
201,1,3,7,16,1,2,1.7356
201,1,3,8,16,1,1,1.3358
201,1,3,9,8,2,2,1.6079
201,1,3,10,8,1,1,1.2079
201,1,3,11,12,1,2,1.7359
201,1,3,12,12,1,1,1.6721
201,1,3,13,16,1,0,0
201,1,3,14,8,1,1,1.3275
201,1,3,15,16,1,1,0.9918
201,1,3,16,12,1,1,1.408
201,1,3,17,12,2,2,1.1441
201,1,3,18,12,1,1,0.95255
201,1,4,1,12,1,1,1.3633
201,1,4,2,8,2,2,0.88869
201,1,4,3,16,2,2,1.5352
201,1,4,4,16,2,2,0.78438
201,1,4,5,16,2,0,0
201,1,4,6,12,2,2,1.3831
201,1,4,7,8,2,2,0.92051
201,1,4,8,16,2,2,0.67987
201,1,4,9,8,2,2,1.2806
201,1,4,10,12,2,2,1.3121
201,1,4,11,12,1,2,1.1837
201,1,4,12,12,1,1,1.168
201,1,4,13,8,2,2,0.78479
201,1,4,14,16,1,1,0.95149
201,1,4,15,12,2,2,1.7922
201,1,4,16,16,2,2,0.97621
201,1,4,17,8,2,2,1.1354
201,1,4,18,8,1,2,1.1842
201,1,5,1,12,1,1,0.72317
201,1,5,2,8,2,2,0.68806
201,1,5,3,12,2,2,0.89686
201,1,5,4,16,2,2,1.9278
201,1,5,5,8,1,1,1.1757
201,1,5,6,16,2,2,1.5114
201,1,5,7,16,1,1,1.672
201,1,5,8,12,2,1,1.0484
201,1,5,9,12,2,2,1.2075
201,1,5,10,16,2,0,0
201,1,5,11,8,2,1,1.4722
201,1,5,12,12,2,2,0.91261
201,1,5,13,16,2,2,0.66358
201,1,5,14,12,2,2,1.753
201,1,5,15,16,1,1,0.83876
201,1,5,16,8,2,2,1.5366
201,1,5,17,8,2,2,1.096
201,1,5,18,8,1,1,1.2244
201,1,6,1,12,1,2,1.6515
201,1,6,2,8,2,2,1.4558
201,1,6,3,16,2,2,1.1287
201,1,6,4,8,1,1,0.99921
201,1,6,5,8,2,0,0
201,1,6,6,12,1,1,1.8657
201,1,6,7,8,2,2,1.1821
201,1,6,8,12,1,1,1.7799
201,1,6,9,16,2,2,1.2903
201,1,6,10,8,1,1,1.3855
201,1,6,11,16,1,1,1.9355
201,1,6,12,12,2,2,0.99881
201,1,6,13,16,2,2,1.1481
201,1,6,14,16,1,1,1.0636
201,1,6,15,8,2,2,1.1548
201,1,6,16,16,2,0,0
201,1,6,17,12,1,1,1.3565
201,1,6,18,12,2,2,0.90475
201,1,7,1,8,2,2,1.5002
201,1,7,2,12,2,2,1.5882
201,1,7,3,16,1,0,0
201,1,7,4,16,2,2,1.2581
201,1,7,5,8,1,1,0.96136
201,1,7,6,16,1,1,1.2286
201,1,7,7,16,2,2,0.76483
201,1,7,8,12,1,1,1.0389
201,1,7,9,12,2,2,0.90418
201,1,7,10,16,1,1,1.2892
201,1,7,11,12,2,2,1.3845
201,1,7,12,8,2,2,0.93566
201,1,7,13,12,1,1,1.276
201,1,7,14,8,1,1,1.2234
201,1,7,15,8,2,2,0.97592
201,1,7,16,8,1,1,1.5371
201,1,7,17,12,2,2,1.1759
201,1,7,18,16,1,1,1.3198
201,1,8,1,12,1,1,1.0399
201,1,8,2,8,2,2,1.3436
201,1,8,3,12,1,1,1.3759
201,1,8,4,12,1,1,1.2638
201,1,8,5,8,2,2,0.65587
201,1,8,6,12,1,1,2
201,1,8,7,8,2,2,0.88733
201,1,8,8,16,1,1,1.0475
201,1,8,9,16,2,2,1.1675
201,1,8,10,16,1,1,1.1272
201,1,8,11,12,2,2,0.90337
201,1,8,12,8,1,1,0.84884
201,1,8,13,16,2,0,0
201,1,8,14,16,2,1,1.255
201,1,8,15,8,1,1,1.6485
201,1,8,16,12,2,2,1.2311
201,1,8,17,16,1,1,1.8151
201,1,8,18,8,2,2,0.66381
201,1,9,1,8,2,1,0.62647
201,1,9,2,16,1,1,1.2404
201,1,9,3,12,1,1,1.4233
201,1,9,4,12,2,2,1.2482
201,1,9,5,8,1,1,1.2955
201,1,9,6,12,2,2,1.2319
201,1,9,7,16,2,2,1.1117
201,1,9,8,8,2,1,1.0393
201,1,9,9,12,1,1,1.5192
201,1,9,10,16,2,2,1.6474
201,1,9,11,8,1,1,0.99201
201,1,9,12,8,1,1,1.1763
201,1,9,13,12,2,2,1.1917
201,1,9,14,16,2,1,1.199
201,1,9,15,12,2,2,0.85638
201,1,9,16,8,1,1,1.256
201,1,9,17,16,1,2,1.1196
201,1,9,18,16,2,1,1.5834
201,1,10,1,8,2,2,1.668
201,1,10,2,12,1,1,0.97555
201,1,10,3,12,2,2,0.88728
